has_job,has_car,has_house,loan_hist,risk_tol,num_children,loan_amount,loan_purpose,trust,fin_lit,id,qualified,group
1,1,0,1.0,0.4434760334259429,1.0,76237.0,5.0,0.9151714307119371,0.966559075389419,0,0,A
1,1,0,1.0,0.617598580705889,2.0,46421.0,2.0,0.8621787961122049,0.6027160699731149,1,0,B
1,0,1,1.0,0.3913756153663716,1.0,47930.0,1.0,0.824643902394522,0.9540463902758355,2,1,A
1,1,1,3.0,0.3706100222043468,3.0,61856.0,4.0,0.7209294556064083,0.6106694448830248,3,1,A
1,1,1,1.0,0.2171797277865738,0.0,14117.0,3.0,0.39399344412134923,0.31886016297997766,5,1,A
0,0,0,1.0,0.4618623974764232,3.0,17685.0,2.0,0.815061015327495,0.5514742554261556,6,0,B
1,1,1,2.0,0.4062483126451532,3.0,75909.0,5.0,0.6610967702300913,0.3333074406312229,7,0,A
1,0,0,1.0,0.6899756664202422,1.0,44814.0,4.0,0.849566886828611,0.7270513780350957,8,0,B
1,1,1,2.0,0.5522012724664941,4.0,11025.0,5.0,0.9025515100650077,0.7621668711480213,9,0,A
1,0,1,0.0,0.4943473764113375,1.0,64040.0,1.0,0.7762557435122983,0.6351820293715171,11,0,A
1,0,0,0.0,0.9972995337369337,1.0,86099.0,3.0,0.7768942334901588,0.742583076070073,12,0,B
1,1,1,3.0,0.5758928689096411,4.0,35485.0,4.0,0.9941455968458132,0.8404399911139484,13,1,A
1,0,0,0.0,0.5876352195730254,2.0,40735.0,3.0,0.9140068242053354,0.8198136987677789,14,0,B
1,1,0,0.0,0.6793668753078225,3.0,38760.0,3.0,0.964549095008149,0.8213327672468362,15,0,B
1,1,1,1.0,0.32490257507003223,2.0,31992.0,5.0,0.9826029751454761,0.9636669492803462,16,1,A
1,1,0,0.0,0.6335388555464843,4.0,35042.0,1.0,0.95,0.7228143240022584,17,0,B
1,1,1,2.0,0.25226603335742215,2.0,56112.0,4.0,1.0,0.9636669492803462,18,1,A
1,1,1,1.0,0.4746860914895169,1.0,47762.0,3.0,1.0,0.8193181821839284,19,1,A
